name,lecturers,term,url,courseType,keywords,day,time,location
Human Computer Interaction,"Christian Holz, April Wang",Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192743&semkez=2025W&lang=en,Core,Foundations; UX Research,Thu; Fri; Tue; Fri,10:15-12:00; 13:15-14:00; 16:15-18:00; 14:15-16:00,HG E 3; CAB G 61; CHN F 46; CAB G 61
Human-Computer Interaction: Cognition and Usability,Christoph Hölscher,Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192631&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=en,Elective,Foundations; UX Research,,,
Quantitative User Experience Research: Surveys and Logs Analysis,Christoph Hölscher,Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?semkez=2025W&ansicht=KATALOGDATEN&lerneinheitId=195819&lang=en,Elective,UX Research,Thu,10:15-12:00,ML J 37.1
Mixed Reality,"Christian Holz, Marc Pollefeys",Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192718&semkez=2025W&lang=en,Elective,AR/VR & Mixed Reality,Mon,10:15-13:00,CAB G 11
Seminar on User-Centered Programming Interfaces,April Wang,Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193088&semkez=2025W&lang=en,Seminar,Human-Centered AI,Thu,16:15-18:00,CAB G 52
Design in Educational Technology,April Wang,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=199016&semkez=2026S&lang=en,Seminar,Learning & Education; Human-Centered AI,Fri; Fri,14:15-16:00; 16:15-17:00,LFW C 4; LFW C 4
Adaptive User Interfaces through Machine Learning,Christian Holz,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=198703&semkez=2026S&lang=en,Elective,Human-Centered AI,Wed,16:15-18:00,STD G 1
Mobile Health and Activity Monitoring,Christian Holz,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=198467&semkez=2026S&lang=en,Elective,Health & Wellbeing,Mon,14:15-16:00,CAB G 11
Reinforcement Learning for Understanding and Modeling Human Behavior,Christian Holz,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=199017&semkez=2026S&lang=en,Seminar,Human-Centered AI,Wed,16:15-18:00,STD G 1
Fundamentals of Web Engineering,Menna El-Assady,Autumn,https://www.vorlesungen.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192534&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=en,Core,Foundations; UX Research,Wed,10:15-12:00,NO C 60
Interactive Machine Learning: Visualization & Explainability,Menna El-Assady,Spring,https://www.vorlesungen.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=198654&semkez=2026S&ansicht=LEHRVERANSTALTUNGEN&lang=en,Elective,Visualization; Human-Centered AI,Thu,11:15-14:00,CAB G 61
"AI4GOOD: Human-Centered AI for Social Good: Peace, Health, Climate",Menna El-Assady,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?semkez=2025S&ansicht=ALLE&lerneinheitId=189586&lang=en,Seminar,Human-Centered AI; Learning & Education,,,
Mind Meets Machine: Cognitive and Social Perspectives on Social Robotics,Emily Cross,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=199671&semkez=2026S&lang=en,Elective,Robotics,Tue,10:15-12:00,LFW C 5
Focus on the Human: Human-Centered Security and Privacy Lab,Verena Zimmermann,Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194455&semkez=2025W&lang=en,Seminar,Security & Privacy,Tue,10:15-12:00,IFW D 42
Human-Centered IT Security and Privacy,Verena Zimmermann,Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=200275&semkez=2026S&lang=en,Elective,Security & Privacy,Thu,10:15-12:00,HG G 26.5
GIS and Geoinformatics Lab,Peter Kiefer,Autumn,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lang=en&lerneinheitId=194186&semkez=2025W,Seminar,Geospatial; AR/VR & Mixed Reality,Tue,13:45-17:30,HIL B 18.1
Advanced GIS,"Martin Raubal, Peter Kiefer",Spring,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lang=en&lerneinheitId=197940&semkez=2026S,Elective,Geospatial,Mon,13:45-16:30,HIL C 10.2
