"id","type","title","authors","venue","year","pages","url"
"journals_eswa_wuew26","article","A unified intelligence-augmented framework for building audits via physical and virtual inspection.","Pei-Yu Wu; Mennatallah El-Assady; Catherine De Wolf","Expert Syst. Appl.","2026","130514","https://doi.org/10.1016/j.eswa.2025.130514"
"journals_chb_klutschzs26","article","Choose to think: Nudging towards privacy informed decisions at the app download stage.","Jennifer Klütsch; Verena Zimmermann; Sabine J. Schlittmeier","Comput. Hum. Behav.","2026","108895","https://doi.org/10.1016/j.chb.2025.108895"
"journals_ce_rhorz26","article","Comparing the deceptive impact of misleading data visualizations: Implications for adaptive data literacy support in computer-based learning environments.","Jihyun Rho; Martina Angela Rau; Xiaojin Zhu","Comput. Educ.","2026","105508","https://doi.org/10.1016/j.compedu.2025.105508"
"journals_corr_abs-2601-02504","article","Enhancing Debugging Skills with AI-Powered Assistance: A Real-Time Tool for Debugging Support.","Elizaveta Artser; Daniil Karol; Anna Potriasaeva; Aleksei Rostovskii; Katsiaryna Dzialets; Ekaterina Koshchenko; Xiaotian Su; April Yi Wang; Anastasiia Birillo","CoRR","2026","","https://doi.org/10.48550/arXiv.2601.02504"
"journals_scc_zhaovamh26","article","Pointing in 3D: validating the virtual reality judgments of relative direction task for assessing spatial memory in multilevel virtual buildings.","Jiayan Zhao; Christian Vater; Cécile Abati; Panagiotis Mavros; Christoph Hölscher","Spatial Cogn. Comput.","2026","38-73","https://doi.org/10.1080/13875868.2025.2601914"
"journals_thri_bretinck26","article","Safety at Stake: How Individuals Task Prioritization Influences Human-Drone Proxemics.","Robin Bretin; Emily S. Cross; Mohamed Khamis","ACM Trans. Hum. Robot Interact.","2026","10:1-10:32","https://doi.org/10.1145/3748520"
"journals_cga_holterme26","article","Toward Agency in Human-AI Collaboration.","Steffen Holter; Caterina Moruzzi; Mennatallah El-Assady","IEEE Computer Graphics and Applications","2026","13-25","https://doi.org/10.1109/MCG.2025.3623892"
"conf_aied_tothrzz25","inproceedings","""I Would Share It, But..."" Exploring Ways to Optimize the Privacy-Personalization Trade-Off in Intelligent Tutoring Systems.","Adrienn Toth; Neele Roch; Noé Zufferey; Verena Zimmermann","AIED","2025","68-76","https://doi.org/10.1007/978-3-031-98462-4_9"
"journals_popets_zuffereygmz25","article","'AI is from the devil.' Behaviors and Concerns Toward Personal Data Sharing with LLM-based Conversational Agents.","Noé Zufferey; Sarah Abdelwahab Gaballah; Karola Marky; Verena Zimmermann","Proc. Priv. Enhancing Technol.","2025","5-28","https://doi.org/10.56553/popets-2025-0086"
"journals_tvcg_moritze25","article","2024 VGTC Visualization Significant New Researcher Award.","Dominik Moritz; Mennatallah El-Assady","IEEE Trans. Vis. Comput. Graph.","2025","xxx-xxxi","https://doi.org/10.1109/TVCG.2024.3473335"
"journals_corr_abs-2512-23372","article","A Design Space for Intelligent Agents in Mixed-Initiative Visual Analytics.","Tobias Stähle; Matthijs Jansen op de Haar; Sophia Boyer; Rita Sevastjanova; Arpit Narechania; Mennatallah El-Assady","CoRR","2025","","https://doi.org/10.48550/arXiv.2512.23372"
"conf_iui_chanmke25","inproceedings","A Design Space for Intelligent Dialogue Augmentation.","Robin Shing Moon Chan; Anne Marx; Alison Kim; Mennatallah El-Assady","IUI","2025","18-36","https://doi.org/10.1145/3708359.3712096"
"journals_corr_abs-2508-10828","article","A Multimodal Neural Network for Recognizing Subjective Self-Disclosure Towards Social Robots.","Henry Powell; Guy Laban; Emily S. Cross","CoRR","2025","","https://doi.org/10.48550/arXiv.2508.10828"
"journals_digitalsociety_atladottirrlz25","article","A Quantum of Responsibility? A Comparison of National Quantum Governance Frameworks and Expert Views.","Drífa Atladóttir; Neele Roch; Matthias Leese; Verena Zimmermann","Digit. Soc.","2025","54","https://doi.org/10.1007/s44206-025-00205-7"
"journals_tvcg_sperrleeac25","article","A Wizard of Oz Study of Guidance Strategies and Dynamics.","Fabian Sperrle; Mennatallah El-Assady; Alessio Arleo; Davide Ceneda","IEEE Trans. Vis. Comput. Graph.","2025","4968-4982","https://doi.org/10.1109/TVCG.2024.3418782"
"journals_tcss_zhaolmskthjlc25","article","Adversarial Reinforcement Learning for Enhanced Decision-Making of Evacuation Guidance Robots in Intelligent Fire Scenarios.","Hantao Zhao; Zhihao Liang; Tianxing Ma; Xiaomeng Shi; Mubbasir Kapadia; Tyler Thrash; Christoph Hoelscher; Jinyuan Jia; Bo Liu; Jiuxin Cao","IEEE Trans. Comput. Soc. Syst.","2025","2030-2046","https://doi.org/10.1109/TCSS.2024.3502420"
"journals_tvcg_diehlabeklkc25","article","An Analysis of the Interplay and Mutual Benefits of Grounded Theory and Visualization.","Alexandra Diehl; Alfie Abdul-Rahman; Benjamin Bach; Mennatallah El-Assady; Matthias Kraus; Robert S. Laramee; Daniel A. Keim; Min Chen","IEEE Trans. Vis. Comput. Graph.","2025","5462-5479","https://doi.org/10.1109/TVCG.2024.3452985"
"conf_chiwork_talypovavsww25","inproceedings","Are Six Minutes of Focus Enough? An Exploratory Study of Multitasking Patterns in Workplace Environments.","Dinara Talypova; Aku Visuri; Ambika Shahu; April Yi Wang; Philipp Wintersberger","CHIWORK","2025","9:1-9:15","https://doi.org/10.1145/3729176.3729198"
"journals_tochi_zimmermannsdm25","article","Authenticate as You Go: From Exploring Smart Home Authentication with Daily Objects to Authenticating with Primary Tasks.","Verena Zimmermann; Stina Schäfer; Markus Dürmuth; Karola Marky","ACM Trans. Comput. Hum. Interact.","2025","13:1-13:69","https://doi.org/10.1145/3702318"
"conf_chi_chensdz25","inproceedings","Beyond Deterrence: A Systematic Review of the Role of Autonomous Motivation in Organizational Security Behavior Studies.","Xiaowei Chen; Lorin Schöni; Verena Distler; Verena Zimmermann","CHI","2025","919:1-919:28","https://doi.org/10.1145/3706598.3713122"
"journals_corr_abs-2509-03271","article","Beyond Quantification: Navigating Uncertainty in Professional AI Systems.","Sylvie Delacroix; Diana Robinson; Umang Bhatt; Jacopo Domenicucci; Jessica Montgomery; Gaël Varoquaux; Carl Henrik Ek; Vincent Fortuin; Yulan He; Tom Diethe; Neill W. Campbell; Mennatallah El-Assady; Søren Hauberg; Ivana Dusparic; Neil D. Lawrence","CoRR","2025","","https://doi.org/10.48550/arXiv.2509.03271"
"journals_corr_abs-2509-20901","article","CafGa: Customizing Feature Attributions to Explain Language Models.","Alan Boyle; Furui Cheng; Vilém Zouhar; Mennatallah El-Assady","CoRR","2025","","https://doi.org/10.48550/arXiv.2509.20901"
"conf_iticse_susmscw25","inproceedings","Can GPT4 Generate Effective Feedback on Code Readability?","Xiaotian Su; Yajie Song; Marcus Messer; Jaromír Savelka; Maria Cutumisu; April Yi Wang","ITiCSE","2025","773","https://doi.org/10.1145/3724389.3730771"
"journals_corr_abs-2507-05010","article","Co-DETECT: Collaborative Discovery of Edge Cases in Text Classification.","Chenfei Xiong; Jingwei Ni; Yu Fan; Vilém Zouhar; Donya Rooein; Lorena Calvo-Bartolomé; Alexander Miserlis Hoyle; Zhijing Jin; Mrinmaya Sachan; Markus Leippold; Dirk Hovy; Mennatallah El-Assady; Elliott Ash","CoRR","2025","","https://doi.org/10.48550/arXiv.2507.05010"
"journals_corr_abs-2504-06374","article","Comparing Self-Disclosure Themes and Semantics to a Human, a Robot, and a Disembodied Agent.","Sophie Chiang; Guy Laban; Emily S. Cross; Hatice Gunes","CoRR","2025","","https://doi.org/10.48550/arXiv.2504.06374"
"journals_corr_abs-2505-07610","article","Concept-Level Explainability for Auditing & Steering LLM Responses.","Kenza Amara; Rita Sevastjanova; Mennatallah El-Assady","CoRR","2025","","https://doi.org/10.48550/arXiv.2505.07610"
"journals_ijhci_lutnykkskhr25","article","Context-Sensitive Augmented Reality Assistance in the Cockpit.","Luis Lutnyk; Kevin Gonyop Kim; Adrian Sarbach; Peter Kiefer; Ruth Häusler; Martin Raubal","Int. J. Hum. Comput. Interact.","2025","11149-11168","https://doi.org/10.1080/10447318.2024.2440976"
"journals_ijsr_labanmkc25","article","Coping with Emotional Distress via Self-Disclosure to Robots: An Intervention with Caregivers.","Guy Laban; Val Morrison; Arvid Kappas; Emily S. Cross","Int. J. Soc. Robotics","2025","1837-1870","https://doi.org/10.1007/s12369-024-01207-0"
"journals_corr_abs-2502-19133","article","DBox: Scaffolding Algorithmic Programming Learning through Learner-LLM Co-Decomposition.","Shuai Ma; Junling Wang; Yuanhao Zhang; Xiaojuan Ma; April Yi Wang","CoRR","2025","","https://doi.org/10.48550/arXiv.2502.19133"
"conf_spacechi_daltondmh25","inproceedings","Designing for Usability in Modular Space Habitats: A Space Syntax Perspective.","Nick Sheep Dalton; Ruth Conroy Dalton; Sam McElhinney; Christoph Hölscher","SpaceCHI","2025","4:1-4:16","https://doi.org/10.4230/OASIcs.SpaceCHI.2025.4"
